ID	RECOMMEND
1	17	30	1	36	42	54	14	55	23	45	
2	12	17	36	54	42	45	29	25	37	55	
3	12	42	36	29	25	16	57	37	21	45	
4	42	17	36	30	25	7	18	16	6	57	
5	30	17	42	29	36	25	55	21	57	18	
6	17	36	30	12	16	25	18	21	57	55	
7	54	6	36	12	7	9	17	58	13	30	
8	36	42	17	7	29	6	12	18	58	37	
9	25	42	17	29	18	36	11	30	6	23	
10	36	17	30	25	42	57	29	16	37	58	
11	30	29	42	25	36	55	16	12	23	18	
12	30	17	21	12	14	45	37	42	55	18	
13	36	30	42	25	16	57	9	12	18	11	
14	30	17	36	12	42	60	37	55	14	45	
15	17	30	36	42	29	55	45	23	18	12	
16	17	36	30	12	54	23	42	18	11	25	
17	36	17	30	29	42	57	7	16	58	37	
18	36	60	30	17	12	14	37	21	42	18	
19	36	30	17	21	12	42	37	55	57	25	
20	36	30	17	42	29	55	12	18	58	37	
21	17	36	12	42	55	45	25	29	57	16	
22	30	17	42	29	12	36	55	16	45	57	
23	17	30	36	12	29	25	18	16	37	54	
24	12	45	21	55	17	36	37	49	42	25	
25	36	30	25	29	16	18	37	11	13	58	
26	36	17	42	6	25	7	57	12	16	18	
27	7	36	25	57	42	18	16	29	13	30	
28	30	37	6	7	17	21	55	42	45	57	
29	36	17	18	7	42	25	30	57	12	6	
30	30	17	36	42	12	55	29	57	16	49	
31	30	17	21	36	29	25	55	16	18	12	
32	17	36	12	42	18	45	29	21	60	37	
33	6	42	7	30	36	25	17	57	16	12	
34	30	17	21	29	18	25	12	16	55	45	
35	36	7	17	42	58	29	30	16	12	55	
36	29	36	42	25	16	55	45	13	23	37	
37	25	17	30	29	7	42	16	18	58	23	
38	29	36	30	25	42	18	16	55	12	23	
39	17	30	25	42	16	12	37	21	7	45	
40	36	17	30	29	12	42	25	57	18	37	
41	7	25	17	57	30	29	18	16	21	12	
42	12	30	17	42	36	13	16	18	25	37	
43	30	42	17	36	57	18	55	37	23	45	
44	36	17	30	25	42	57	21	29	58	18	
45	25	17	30	16	36	57	12	7	55	21	
46	30	36	42	25	57	21	29	16	18	55	
47	36	30	29	42	25	16	21	55	12	57	
48	30	17	12	37	42	57	29	18	23	45	
49	30	17	29	25	42	57	16	37	13	55	
50	25	17	42	29	16	7	18	55	21	37	
51	17	25	30	42	29	57	16	12	58	21	
52	30	17	21	42	36	12	29	16	55	25	
53	17	36	25	29	57	16	7	55	37	12	
54	17	29	57	16	12	18	21	55	7	9	
55	17	30	36	12	18	25	16	21	57	23	
56	36	7	25	57	42	18	16	29	12	23	
57	30	36	17	12	57	25	37	42	29	45	
58	30	17	25	29	18	16	21	12	7	58	
59	42	16	18	12	21	55	7	58	37	9	
60	17	36	25	30	29	16	18	12	37	6	
61	17	42	36	29	55	25	21	18	45	37	
62	42	17	29	16	36	11	25	18	30	57	
63	36	30	29	42	18	25	12	57	23	19	
64	30	17	29	42	18	16	11	57	21	37	
65	9	17	12	30	13	60	42	37	29	36	
66	30	36	17	25	42	12	57	16	29	37	
67	30	36	17	42	37	60	54	45	29	21	
68	36	17	21	14	42	40	50	1	37	54	
69	30	29	17	42	36	25	16	37	12	18	
70	36	17	42	30	25	29	18	57	37	58	
71	17	36	42	30	29	37	25	12	16	57	
72	36	30	21	17	40	14	42	53	54	29	
73	30	37	17	36	12	29	25	42	21	16	
74	36	30	17	12	42	54	29	45	60	25	
75	36	6	7	25	30	18	57	58	29	12	
76	17	36	25	16	12	18	7	21	45	58	
77	30	17	29	36	57	16	18	12	21	7	
78	25	17	42	57	29	18	16	30	12	37	
79	30	17	16	12	36	25	55	57	21	13	
80	36	6	7	58	25	17	57	42	24	29	
81	36	25	17	7	30	42	29	18	16	58	
82	17	29	12	45	21	55	25	42	23	18	
83	36	7	17	18	6	42	29	25	16	57	
84	36	30	25	57	16	29	6	18	58	12	
85	36	42	57	29	16	12	18	7	55	21	
86	17	29	42	30	18	16	9	12	11	37	
87	12	17	36	42	29	25	21	16	57	60	
88	29	42	30	36	25	57	9	18	7	55	
89	30	17	12	55	42	45	54	29	37	25	
90	36	17	57	42	7	29	16	6	18	37	
91	17	36	18	29	25	30	16	57	7	58	
92	36	30	25	29	16	57	18	21	55	12	
93	36	30	17	12	25	57	29	42	45	21	
94	17	42	29	30	57	16	7	9	12	58	
95	25	17	57	7	16	42	58	30	13	11	
96	12	54	45	17	37	36	49	42	23	21	
97	25	29	18	16	58	6	12	37	55	23	
98	36	17	30	42	7	18	25	57	37	55	
99	30	42	17	29	25	12	55	18	7	23	
100	36	30	25	57	42	16	29	18	9	37	
101	36	42	12	25	29	57	16	55	21	18	
102	36	17	30	42	25	29	18	7	21	58	
103	17	30	25	42	12	29	21	18	58	37	
104	25	36	29	17	16	58	42	18	13	11	
105	29	42	12	25	57	18	9	21	11	49	
106	36	42	25	29	57	18	55	58	45	37	
107	30	29	42	57	12	16	55	18	21	45	
108	12	30	9	36	45	37	21	23	49	46	
109	30	17	36	42	21	12	25	29	16	57	
110	30	36	29	17	42	25	18	16	55	57	
111	36	17	42	30	25	29	57	7	18	6	
112	17	36	21	55	29	37	45	25	16	18	
113	36	30	29	57	18	12	21	7	55	45	
114	17	36	42	12	25	29	16	57	18	7	
115	25	29	42	17	16	30	18	9	11	58	
116	17	30	29	21	37	55	18	42	12	45	
117	30	36	17	12	45	7	42	25	57	21	
118	17	25	16	57	36	30	23	12	9	37	
119	30	25	42	12	57	21	55	16	18	37	
120	29	16	17	36	30	18	11	7	58	55	
121	6	7	42	58	16	18	36	29	17	33	
122	30	12	36	17	54	45	42	11	21	49	
123	17	36	29	42	30	57	16	12	18	9	
124	17	30	25	12	42	57	37	29	23	18	
125	17	36	30	42	21	16	57	37	12	55	
126	29	25	36	57	18	12	7	23	58	9	
127	7	6	58	57	24	33	29	42	16	18	
128	30	17	29	36	25	9	16	57	11	18	
129	12	14	45	21	60	36	42	37	29	16	
130	30	42	36	25	29	55	57	7	18	12	
131	25	36	42	17	6	7	57	16	29	58	
132	30	17	42	36	37	29	55	45	25	21	
